id,word,pronunciation,frequencyId
d5d8c5bb-f9d0-4c83-800b-c8b2be9f89c2,Africa,ˈæfrɪkə,11111111-1111-1111-1111-111111111112
238532c9-b871-4a82-af32-7537f5c3b3e3,African,ˈæfrɪkən,11111111-1111-1111-1111-111111111112
4ef21961-5740-4db8-887b-db99c3b0a6a6,America,əˈmerɪkə,11111111-1111-1111-1111-111111111111
4ef21961-5740-4db8-887b-db99c3c0a6a6,American,əˈmerɪkən,11111111-1111-1111-1111-111111111111
2a7746fb-97ba-4947-8b41-e147d20f7958,Antarctica,ænˈtɑːrktɪkə,11111111-1111-1111-1111-111111111113
31a57705-8751-45fe-aa00-069275240bf1,April,ˈeɪprəl,11111111-1111-1111-1111-111111111112
42f65f11-ab51-494c-83a8-5cad23bf638f,Asia,ˈeɪʒə,11111111-1111-1111-1111-111111111112
9b1ea886-cb8b-4e88-8687-357d48a95cc6,Asian,ˈeɪʒən,11111111-1111-1111-1111-111111111112
b090d56a-dc95-417d-a488-3c5529e1ffa2,August,ɔˈɡʌst,11111111-1111-1111-1111-111111111111
db4c4bed-6cc7-4e20-a89e-2fe0d31794d5,Australia,ɔˈstreɪliə,11111111-1111-1111-1111-111111111112
5d4e9146-67a6-4175-ac4e-940483ea63ec,Australian,ɔˈstreɪliən,11111111-1111-1111-1111-111111111113
72e0439e-3bcf-4ca1-9ba7-e4480f323ca2,Berlin,bɜːrˈlɪn,11111111-1111-1111-1111-111111111113
9435eeac-a67f-4949-a980-e750071f832d,Brazil,brəˈzɪl,11111111-1111-1111-1111-111111111113
be63b803-ad05-4ebd-bbfe-40369ea8d67f,Brazilian,brəˈzɪliən,11111111-1111-1111-1111-111111111113
6f25e176-78ff-4ed4-8c73-e6fc78f8a812,Britain,ˈbrɪtn,11111111-1111-1111-1111-111111111112
e9589c79-daf8-4696-a4ef-c0e0c84cbcb6,British,ˈbrɪtɪʃ,11111111-1111-1111-1111-111111111112
2fe3c7ba-185a-4d69-b298-4e5fced052c1,CD,ˌsiːˈdiː,11111111-1111-1111-1111-111111111113
093d0742-d4bd-4a67-a655-e53cabcf5b94,California,ˌkælɪˈfɔːrniə,11111111-1111-1111-1111-111111111113
4e1f4611-cad5-4a6e-acfd-e84338719063,Canada,ˈkænədə,11111111-1111-1111-1111-111111111112
f9c7966c-f1c0-4ab8-be32-020695fc975b,Canadian,kəˈneɪdiən,11111111-1111-1111-1111-111111111113
a30a550a-8180-42e2-99ff-41b5691f1e52,China,ˈtʃaɪnə,11111111-1111-1111-1111-111111111112
5eb76d56-ca38-4ed4-8c68-c9a3be86cc5d,Chinese,tʃaɪˈniːz,11111111-1111-1111-1111-111111111112
1441bc3a-331b-4725-b9f3-daa3888d820a,Christmas,ˈkrɪsməs,11111111-1111-1111-1111-111111111112
96939df1-d7a8-4b75-99a7-d6dc1978a1e8,December,dɪˈsembər,11111111-1111-1111-1111-111111111112
a8b522de-0b2d-4eda-b64c-76f5ebf19a26,Dr.,ˈdɑːktər,11111111-1111-1111-1111-111111111112
0da17cb2-d093-4e0c-aee6-be7b298d4a7a,Dutch,dʌtʃ,11111111-1111-1111-1111-111111111113
dfb7d8b0-adc6-4cdf-8955-214a8f51583b,England,ˈɪŋɡlənd,11111111-1111-1111-1111-111111111111
382d92b4-80af-4440-84c3-4dd67ae41755,English,ˈɪŋɡlɪʃ,11111111-1111-1111-1111-111111111111
20828fd2-4f79-4263-bbbc-bda44f4a5126,Europe,ˈjʊrəp,11111111-1111-1111-1111-111111111112
765307fc-a352-4039-aa8b-f2e6d17624be,European,ˌjʊrəˈpiːən,11111111-1111-1111-1111-111111111113
16400940-2174-4a90-8e86-b3f165ea31cd,February,ˈfebrueri,11111111-1111-1111-1111-111111111112
0bfb57df-9b80-4256-ad3a-c40038e0b0ea,Finland,ˈfɪnlənd,11111111-1111-1111-1111-111111111113
34d39303-503a-436d-9610-4f3294301caa,France,fræns,11111111-1111-1111-1111-111111111112
